Title,Summary,Latitude,Longitude,Cleaned Summary,Category,Mentioned Landmarks,Best Season,Weather Dependency
Cayey barrio-pueblo,"Cayey barrio-pueblois abarrioand the administrative center (seat) ofCayey, a municipality of Puerto Rico. Its population in 2010 was 15,298.[1][4][5][6]\n As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[7][8]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al\nnúmero de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[7]\n",18.114643,-66.162228,"Cayey barrio-pueblo is a barrio and the administrative center (seat) of Cayey, a municipality of Puerto Rico. Its population in 2010 was 15,298. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year. The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities) (Spanish: a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish: grandeza","Urban, Museums, Religious","Cayey barrio-pueblo, Puerto Rico",Year-round,No
Cayos de Caña Gorda,"TheCayos de Caña Gorda(English:Caña Gorda KeysorCays) is a group of three uninhabited,mangrove-coveredkeys, located at17\xc2\xb056\xe2\x80\xb232\xe2\x80\xb3N066\xc2\xb052\xe2\x80\xb217\xe2\x80\xb3W / 17.94222\xc2\xb0N 66.87139\xc2\xb0W /17.94222; -66.87139off the southwestern coast ofPuerto Rico. They belong tobarrioCareneroofGuánicamunicipio. The eastern key,Isla Ballenais separated from the Puerto Rican mainland close toPunta Ballenaonly by a 66 foot (20 m) wide channel. The western key was given the nameGilligan\'s Island(after theTV series) in the 1970s by the Keegan/Barnett family, who had recently moved to Guanica fromPhiladelphia, Pennsylvania.Cayo Aurorais served by boat (1,969 ft (600 m) from the mainland at Punta Jacinto) and has public beaches. Between the two isCayo Honda, the central key. The total land area is 0.069 sq mi (44 acres; 0.18 km2) (Block1069,Block Group1,Census tract9611, Guánica Municipio, Puerto Rico).\n The area is good for snorkeling and can be reached by kayak.[1]\n \n",17.94222,-66.87139,"The Cayos de Caña Gorda (English: Caña Gorda Keys or Cays) is a group of three uninhabited, mangrove-covered keys, located at 17°56'32""N 066°52'17""W off the southwestern coast of Puerto Rico. They belong to barrio Carenero of Guánica municipio. The eastern key, Isla Ballena, is separated from the Puerto Rican mainland close to Punta Ballena only by a 66-foot (20 m) wide channel. The western key was given the name Gilligan's Island (after the TV series) in the 1970s by the Keegan/Barnett family, who had recently moved to Guanica from Philadelphia, Pennsylvania. Cayo Aurora is served by boat (1,969 ft (600 m) from the mainland at Punta Jacinto) and has public beaches. Between the two is Cayo Honda, the central key. The total land area is",Beaches,"Cayos de Caña Gorda, Puerto Rico","Summer, Spring",Yes
Icacos Cay,"Icacos Cay(Spanish:Cayo Icacos) is the largestuninhabited cayforming part of a small chain ofcays,reefs, andisletslocated off the coast of thebarrioofCabezasin the municipality ofFajardoin northeasternPuerto Rico. Along withPalominos island,it is part of theLa Cordillera Reef Nature Reserveand under the jurisdiction of theDepartment of Natural Resources and Environment.Icacosis a fifteen-minutewater taxiride from Fajardo.[1]The cay is a popularsnorkelingand beach tourism destination.\n For some time, there was alimestonequarryon the southern part of the island, with a short railroad system to shuttle limestone from the quarry to the pier.[2]\n \n",18.38639,-65.58889,"Icacos Cay (Spanish: Cayo Icacos) is the largest uninhabited cay forming part of a small chain of cays, reefs, and islets located off the coast of the barrio of Cabezas in the municipality of Fajardo in northeastern Puerto Rico. Along with Palomino's Island, it is part of the La Cordillera Reef Nature Reserve and under the jurisdiction of the Department of Natural Resources and Environment. Icacos is a fifteen-minute","Nature, Museums, Beaches","Icacos Cay, La Cordillera Reef Nature Reserve, Puerto Rico","Summer, Spring",Yes
Cayo Luis Peña,"Cayo Luis Peña, formerlySouth West Key,[1]is a small uninhabited island off the west coast ofCulebra, an island municipality ofPuerto Rico. The island is anature reservewhich forms part of theCulebra National Wildlife Refuge. Visitors are allowed on the island for nature walks,snorkeling, andswimming; however, visitors are not allowed to stay on the island overnight. The island is only accessible via privatewater taxis. This limited access results in relatively few visitors and the island and surrounding reefs are able to stay more pristine as a result.[2]The small number of visitors also makes the island more private for those willing to make the journey.[3]Luis Peña Beach is located on the north side of the island. The island is named after its second owner.\n \n \n",18.3058028,-65.3326028,"Cayo Luis Peña, formerly South West Key, is a small uninhabited island off the west coast of Culebra, an island municipality of Puerto Rico. The island is a nature reserve which forms part of the Culebra National Wildlife Refuge. Visitors are allowed on the island for nature walks, snorkeling, and swimming; however, visitors are not allowed to stay on the island overnight. The island is only accessible via private water taxis. This limited access results in relatively few visitors and the island and surrounding reefs are able to stay more pristine as a result. The small number of visitors also makes the island more private for those willing to make the journey. Luis Peña Beach is located on the north side of the island. The island is named after its second owner.","Nature, Museums, Beaches","Cayo Luis Peña, Culebra National Wildlife Refuge, Puerto Rico","Summer, Spring",Yes
Caño Tiburones,"Caño Tiburonesis awetlandandnature reservelocated in the northern coast ofPuerto Ricoin the municipalities ofAreciboandBarceloneta. This is one of the largest wetlands in Puerto Rico, covering almost 7,000 acres. A large portion of the swamp, located in Arecibo, is protected as theCaño Tiburones Nature Reserve.[1]\n The average annual temperature is of 80\xcb\x9aF (26.9\xcb\x9aC). Precipitation varies from 1,000 to 2,000 mm of average annual rain; it is rainiest during the wet season, from May to September.[1]\n The swamp is located north of theNorthern Karstzone of Puerto Rico and lies above a wide limestone area. Most of the terrain in the area consists of swamp deposits made ofclayandsiltwith smaller quantities ofsandandpeat. Most of the soil is hydric and organic with high acidity and poor drainage which sustains the swampy terrain.[1]\n",18.473,-66.634,"Caño Tiburones is a wetland and nature reserve located in the northern coast of Puerto Rico in the municipalities of Arecibo and Barceloneta. This is one of the largest wetlands in Puerto Rico, covering almost 7,000 acres. A large portion of the swamp, located in Arecibo, is protected as the Caño Tiburones Nature Reserve. The average annual temperature is 80°F (26.9°C). Precipitation varies from 1,000 to 2,000 mm of average annual rain; it is rainiest during the wet season, from May to September. The swamp is located north of the Northern Karst zone of Puerto Rico and lies above a wide limestone area. Most of the terrain in the area consists of swamp deposits made of clay and silt with smaller quantities of sand and peat. Most of the soil is hydric and organic with high acidity and poor drainage which sustains the swampy terrain.","Nature, Beaches","Caño Tiburones, Puerto Rico","Summer, Spring",Yes
Ceiba barrio-pueblo,"Ceiba barrio-pueblois abarrioand the administrative center (seat) ofCeiba, a municipality of Puerto Rico. Its population in 2010 was 3,677.[4][5][1]As was customary in Spain, in Puerto Rico, the municipality has a barrio calledpueblowhich contains a central plaza, the municipal buildings (city hall), and a Catholic church.Fiestas patronales(patron saint festivals) are held in the central plaza every year.[6][7]\n The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. TheLaws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza\'s purpose was for ""the parties"" (celebrations, festivities) (Spanish:a propósito para las fiestas), and that the square should be proportionally large enough for the number of neighbors (Spanish:grandeza proporcionada al número de vecinos). These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby, protecting them from the elements: sun and rain.[6]\n Located across from the central plaza in Ceiba barrio-pueblo is theParroquia San Antonio de Padua, aRoman Catholicchurch which was inaugurated in 1840.[8]\n",18.263641,-65.648122,"Ceiba barrio-pueblo is a barrio and the administrative center (seat) of Ceiba, a municipality of Puerto Rico. Its population in 2010 was 3,677. As was customary in Spain, in Puerto Rico, the municipality has a barrio called pueblo which contains a central plaza, the municipal buildings (city hall), and a Catholic church. Fiestas patronales (patron saint festivals) are held in the central plaza every year.

The central plaza, or square, is a place for official and unofficial recreational events and a place where people can gather and socialize from dusk to dawn. The Laws of the Indies, Spanish law, which regulated life in Puerto Rico in the early 19th century, stated the plaza's purpose was for ""the parties"" (celebrations, festivities), and that the square should be proportionally large enough for the number of neighbors. These Spanish regulations also stated that the streets nearby should be comfortable portals for passersby","Urban, Museums, Historical, Religious","Ceiba barrio-pueblo, Puerto Rico",Year-round,No
Cementerio Católico San Vicente de Paul,"\n TheCementerio Católico San Vicente de Paul(English:Saint Vincent de Paul Catholic Cemetery) is a cemetery in the city ofPonce, Puerto Rico. It is the only cemetery in Puerto Rico with a group of niches built forming a basement, in which the burials occurred beneath ground level, thus giving the effect of acatacomb.[1]The cemetery is named afterVincent de Paul(24 April 1581 \xe2\x80\x93 27 September 1660), the FrenchRoman Catholicpriest who dedicated his life to serving the poor. It was listed on the U.S.National Register of Historic Placesin 1988.[2]\n Cementerio Catolico San Vicente de Paul is located off Puerto Rico RoutePR-123in barrioMagueyes Urbano. PR-123 used to be signedPR-10, and this last route numbering might still be seen in some older documents about this cemetery. The cemetery is located on a site with a steep terraingradient.\n",18.016596,-66.633782,"The Cementerio Católico San Vicente de Paul (English: Saint Vincent de Paul Catholic Cemetery) is a cemetery in the city of Ponce, Puerto Rico. It is the only cemetery in Puerto Rico with a group of niches built forming a basement, in which the burials occurred beneath ground level, thus giving the effect of a catacomb. The cemetery is named after Vincent de Paul (24 April 1581 – 27 September 1660), the French Roman Catholic priest who dedicated his life to serving the poor. It was listed on the U.S. National Register of Historic Places in 1988.

Cementerio Católico San Vicente de Paul is located off Puerto Rico Route PR-123 in barrio Magueyes Urbano. PR-123 used to be signed PR-10, and this last route numbering might still be seen in some older documents about this cemetery. The cemetery is located on a site with a steep terrain gradient.","Urban, Historical","Cementerio Católico San Vicente de Paul, Puerto Rico",Year-round,No
Cementerio Civil de Ponce,"\n Cementerio Civil de Ponce(Ponce Civil Cemetery), a.k.a.,Cementerio Municipal de Ponce, is a historic burial ground inPonce, Puerto Rico. It was founded in 1901.[2][a]It was designed byManuel V. Domenech.[3]Some of the people buried at Cementerio Civil includeRuth Fernández,Isabel la NegraandHéctor Lavoe. It is believed to be the largest cemetery in Puerto Rico.[4]\n The cemetery is also home to theMonumento a los heroes de El Polvorín(Monument to theEl PolvorinHeroes). It is located in BarrioPortugues Urbanoat N 18.01327 W 66.63286 (18\xc2\xb0 0\' 47.7714"" N, 66\xc2\xb0 37\' 58.2954"" W).\n",18.01327,-66.63286,"Cementerio Civil de Ponce (Ponce Civil Cemetery), a.k.a., Cementerio Municipal de Ponce, is a historic burial ground in Ponce, Puerto Rico. It was founded in 1901. It was designed by Manuel V. Domenech. Some of the people buried at Cementerio Civil include Ruth Fernández, Isabel la Negra, and Héctor Lavoe. It is believed to be the largest cemetery in Puerto Rico. 

The cemetery is",Historical,"Cementerio Civil de Ponce, Puerto Rico",Year-round,No
Center for Advanced Studies on Puerto Rico and the Caribbean,"TheCenter for Advanced Studies on Puerto Rico and the Caribbean(Spanish:Centro de Estudios Avanzados de Puerto Rico y El Caribeor simply CEAPRC) is a private institute housed in the formerSan Ildefonso Conciliar SeminaryinOld San Juan,San Juan,Puerto Rico[1]that offersgraduate studiesinartsandphilosophy.[2]The center is currentlyaccreditedby theMiddle States Association of Colleges and Schoolsand it publishes LaRevista del Centro de Estudios Avanzados de Puerto Rico y el Caribe.[3][4]\n It was incorporated on February 28, 1968, byPablo Casals,Luis Muñoz Marín, Roberto Busó Carrasquillo, andJaime Benítez. However, it remained inactive and without organization until 1976, whenRicardo Alegríamade a request before theCouncil on Higher Education of Puerto Ricoto transform the center into an academic institution.[5]\n With the CEAPRC, Alegría intended for a small institution that possessed an intimate environment, with intellectual growth and the promotion of a region-wide Caribbean emphasis as its focus.[6]In her 2002 book, Carmen Dolores Hernández credited the CEAPRC (which she labels an ""experimental"" institution ""unparalleled in the island or the Antilles"") with breaking away from the ""cultural euro centrism"" of higher education in Puerto Rico.[7]The curriculum was intended to be different from that of the universities.[8]Puerto Rico and the Antilles received a central role with historic archeology, local literature and history in the spotlight. Besides numerous local sites, archeological digs were also held by students in the Dominican Republic and Cuba. Foreign professors such as Irving Rouse, Peter Roe, Mario Veloz Maggiolo, Sally Price and Lourdes Domínguez also collaborated with the CEAPRC. Students were allowed to take courses from other universities.[9]On at least one occasion, a course was added due to student initiative.\n",18.466702,-66.118767,"The Center for Advanced Studies on Puerto Rico and the Caribbean (Spanish: Centro de Estudios Avanzados de Puerto Rico y El Caribe or simply CEAPRC) is a private institute housed in the former San Ildefonso Conciliar Seminary in Old San Juan, San Juan, Puerto Rico that offers graduate studies in arts and philosophy. The center is currently accredited by the Middle States Association of Colleges and Schools and it publishes La Revista del Centro de Estudios Avanzados de Puerto Rico y el Caribe. It was incorporated on February 28, 1968, by Pablo Casals, Luis Muñoz Marín, Roberto Busó Carrasquillo, and Jaime Benítez. However, it remained inactive and",Museums,"Center for Advanced Studies on Puerto Rico and the Caribbean, Old San Juan, Puerto Rico",Year-round,No
Central Cortada,"Central Cortada, also known as theCortada Sugarcane Refinery, was asugarcaneplantation andrefinerylocated inDescalabrado,Santa Isabel,Puerto Rico. The area where the refinery is located has been used for the growth and processing of sugarcane since the 18th century.[1]\n The area where Central Cortada is located was originally calledEstanciaDescalabrado,owned byCatalansettlers named Juan de Quintana (from 1737 to 1789) and later Juan Cortada Manzo (from 1800 to 1865), who build thetrapiche. The Cortada family kept operating the farm as part of their crop financing business, thePonce-basedCortada & Cia. This company kept growing and acquiring newhaciendasin the area, such as Hacienda Palmarito in 1868. The cholera epidemic of 1855-1856, which killed manyestanciaslaves, and theabolition of slaveryin 1873 drastically transformed Puerto Rico\'s economy and impacted the sugarcane industry at the time. This period lasted through theSpanish\xe2\x80\x93American Waruntil theFirst World War.[2]\n TheSanta Isabel Sugar Companywas founded in 1918 to build the infrastructure necessary to modernize and develop the sugarcane industry in the formerestancia. This company was founded in 1918 and was owned by the Cortada family and shareholders J. C. Mc Cormick Hartman, Hugh Guillén, Isidro Abarca, Antonio \xc3\x81lvarez, Francisco Verges, George T. Parker, Leopoldo Cabassa, Antonio Alcaide, and Rafael Fabián. The director was Juan Cortada Tirado. Most of the sugarcane workers at this time were poor peasants who would come from the mountainous areas in search of work and alternative employment. These workers would often be calledcolonos(Spanishfor ""colonists"") as the former slave-operatedestanciasand the communities that grew around them were now referred to ascoloniasor ""colonies"".\n",17.9960252,-66.4320599,"Central Cortada, also known as the Cortada Sugarcane Refinery, was a sugarcane plantation and refinery located in Descalabrado, Santa Isabel, Puerto Rico. The area where the refinery is located has been used for the growth and processing of sugarcane since the 18th century. The area where Central Cortada is located was originally called Estancia Descalabrado, owned by Catalan settlers named Juan de Quintana (from 1737 to 1789) and later Juan Cortada Manzo (from 1800 to 1865), who built the trapiche. The Cortada family kept operating the farm as part of their crop financing business, the Ponce-based Cortada & Cia. This",Museums,"Central Cortada, Puerto Rico",Year-round,No
Central Guánica,"Central Guánicawas a sugar mill located inEnsenada Barrioin the municipality ofGuánica, Puerto Rico. It was one of the largestsugar millsin theCaribbean, and untilWorld War I, it was one of the largest mills in the world.[1]\nIt ceased operations in 1982.[2]\n Its owners, theSouth Puerto Rico Sugar CompanyofNew Jersey, began construction of the Central Guánica sugar mill in 1901. Acompany town, which included a hospital, school, and housing facilities was organized around the sugar mill.[2]\n In 1967, South Puerto Rico Sugar Company was acquired byGulf and Western Industries, which later sold the sugar mill during the 1970s.\n",17.9685,-66.9296,"Central Guánica was a sugar mill located in Ensenada Barrio in the municipality of Guánica, Puerto Rico. It was one of the largest sugar mills in the Caribbean, and until World War I, it was one of the largest mills in the world. It ceased operations in 1982. Its owners, the South Puerto Rico Sugar Company of New Jersey, began construction of the Central Guánica sugar mill in 1901. A company town, which included a hospital,",Unknown,"Central Guánica, Puerto Rico",Unknown,No
"Central High School (San Juan, Puerto Rico)","Central High School, also known asLa CentralorLa Central High, is a school located inSanturce barrioofSan Juan, Puerto Rico.\n The 1925-built building was listed on the U.S.National Register of Historic Placesin 1987 and on thePuerto Rico Register of Historic Sites and Zonesin 2000.[1][2]\n It is a three-story, U-shaped building withSpanish Renaissance architecture.[3]\n",18.44815,-66.06977,"Central High School, also known as La Central or La Central High, is a school located in Santurce barrio of San Juan, Puerto Rico.
The 1925-built building was listed on the U.S. National Register of Historic Places in 1987 and on the Puerto Rico Register of Historic Sites and Zones in 2000.
It is a three-story, U-shaped building with Spanish Renaissance architecture.",Historical,Puerto Rico,Year-round,No
Tibes Indigenous Ceremonial Center,"\n TheTibes Indigenous Ceremonial Center(Spanish:Centro Ceremonial Indígena de Tibes) in Sector La Vega de Taní,[4]Barrio Tibes,Ponce,Puerto Rico, houses one of the most important archaeological discoveries made in theAntilles. The discovery provides an insight as to how the indigenous tribes of theIgneriandTaínoslived and played during and before the arrival ofChristopher Columbusto the New World. Tibes is the oldestAntilleanIndian ceremonial and sports complex yet uncovered in Puerto Rico. Within its boundaries is also the largestindigenouscemetery discovered to date \xe2\x80\x93 consisting of 186 human skeletons, most from the Igneri and the rest from the pre-Taíno cultures.[5]Based on the orientation of the ceremonial plazas, this is also believed to be the oldest astronomical observatory in the Antilles.[6]The museum was established in 1982 and restored in 1991.[7]\n The Tibes Indigenous Ceremonial Center is one of the largest and most significant indigenous sites in the Caribbean islands, and is the largest ceremonial site in Puerto Rico.[8]\n",18.0422361,-66.6217806,"The Tibes Indigenous Ceremonial Center (Spanish: Centro Ceremonial Indígena de Tibes) in Sector La Vega de Taní, Barrio Tibes, Ponce, Puerto Rico, houses one of the most important archaeological discoveries made in the Antilles. The discovery provides an insight as to how the indigenous tribes of the Igneri and Taínos lived and played during and before the arrival of Christopher Columbus to the New World. Tibes is the oldest Antillean Indian ceremonial and sports complex yet uncovered in Puerto Rico. Within its boundaries is also the largest indigenous cemetery discovered to date – consisting of 186 human skeletons, most from the Igneri and the rest from the pre-Taíno cultures. Based on the orientation of the ceremonial plazas, this is also believed to be the oldest astronomical observatory in the Antilles. The museum was established in 1982 and restored in 1991.
The Tibes Indigenous Ceremonial Center is one","Urban, Museums","Tibes Indigenous Ceremonial Center, Puerto Rico",Year-round,No
Centro Cultural Baudilio Vega Berríos,"TheCentro Cultural Baudilio Vega Berríosis acultural centerlocated inMayag\xc3\xbcez, Puerto Rico.\nLocated in the heart of the city, aside theCity Halland theTeatro Yag\xc3\xbcez, extending betweenCandelaria Street (formerMcKinley)at front to theErnesto Ramos AntoniniStreet (formerEleven of August) at back.[1]\n The Cultural Center of Mayag\xc3\xbcez is a two-story building with a facade that is dominated by arches, built at a cost of one million dollars under the management ofBaudilio Vega Berríos, for whom the building was named. It was built strictly with municipal funds.[1]It has a theater with capacity for seven hundred people, a library, a history museum, reading and conference rooms as well as a modern cafeteria.[1]\n The Centro Cultural Baudilio Vega Berríos is located in place that for many years occupied the town fire station.[1]The Cultural Center began as an organization founded in 1958 under the presidency ofAmador Ramírez Silvaas part of a project of thePuerto Rico Institute of Culture.[2]With the cooperation and donations of different institutions and people from Mayaguez, the Center starts to become a reality with a series of activities. Since then the Municipal Administration has become an important column in the organization.[citation needed]\n",18.2011139,-67.139975,"The Centro Cultural Baudilio Vega Berríos is a cultural center located in Mayagüez, Puerto Rico. Located in the heart of the city, beside the City Hall and the Teatro Yagüez, extending between Candelaria Street (formerly McKinley) at the front and Ernesto Ramos Antonini Street (formerly Eleven of August) at the back. The Cultural Center of Mayagüez is a two-story building with a facade dominated by arches, built at a cost of one million dollars under the management of Baudilio Vega Berríos, for whom the building was named. It was built strictly with municipal funds. It has a theater with a capacity for seven hundred people, a library, a history museum, reading and conference rooms, as well as a modern cafeteria. The Centro Cultural Baudilio Vega Berríos is located in a place that for many years occupied the town fire station. The Cultural Center began as an organization founded in","Urban, Museums","Centro Cultural Baudilio Vega Berríos, Puerto Rico",Year-round,No
Centro Cultural Carmen Solá de Pereira de Ponce,"\n Helvetia Nicole(1963\xe2\x80\x9365)\nAriel Colón Clavell(1965\xe2\x80\x9375)\nHéctor García(1975\xe2\x80\x9381)\nHéctor Méndez Loucil(1981\xe2\x80\x9386)\nAntonia Santiago(1986\xe2\x80\x9395)\nJulio Rodríguez(1995\xe2\x80\x9397)\nHéctor Estrada(1997-01)\nIraida Muñiz(2001\xe2\x80\x9303)\nPedro Santiago(2003\xe2\x80\x9304)\nCarmen Santiago(2004\xe2\x80\x9307)\nJosé Balay Ruiz(2007\xe2\x80\x9312)[1]\n Centro Cultural Carmen Solá de Pereira de Ponce(English: Carmen Solá de Pereira Ponce Cultural Center) is the cultural center of the city ofPonce, and is located at 70 Cristina street in thePonce Historic Zone, in BarrioTercero,Ponce, Puerto Rico.[2]The Center is located in a structure designed in 1870, and it is currently used for educational and cultural activities as well as for art exhibits.[3]Centro Cultural de Ponce was founded on 12 November 1963.[4][5]\n",18.01197,-66.61259,"Helvetia Nicole (1963-1965)
Ariel Colón Clavell (1965-1975)
Héctor García (1975-1981)
Héctor Méndez Loucil (1981-1986)
Antonia Santiago (1986-1995)
Julio Rodríguez (1995-1997)
Héctor Estrada (1997-2001)
Iraida Muñiz (2001-2003)
Pedro",Unknown,None,Unknown,No
Centro del Sur Mall,"\n Centro del Sur Mallis ashopping mallinPonce, Puerto Rico. At the time of its inauguration in 1962,[2]it was Puerto Rico\'s largest mall and \xe2\x80\x9cthe most modern mall in the Caribbean.\xe2\x80\x9d[2]It is located at the intersection of Puerto Rico routesPR-163(Avenida Las Américas) andPR-1(Bulevar Miguel Pou). Its original building cost was$2,500,000 ($43 million in 2023 dollars[3]).[4]It has been enlarged several times; including in 1991, in 2005, and again in 2010; this last time to accommodate the megastoreBurlington.\n On June 27, 1962, developed by IBEC Realty Company,[5]Centro del Sur inaugurated with anchorsKresge\xe2\x80\x99s,Barker\xe2\x80\x99s, andGrand Union. At the time it consisted of 120,000 square feet of retail space with 18 establishments such asFarmacias Moscoso,Thom McAn,Banco de Ponce, Elegance, Mayfair, and One-Hour Martinizing. The $2,500,000 shopping center which took two years to be built, being in plans since 1960, it was considered at the time the most modern shopping center in the Caribbean. It was constructed by engineer Santiago Castrodad, and featured a 436 foot long shopping corridor with benches, gardens, and a central fountain with colored lighting that served as main attractions at the mall. The shopping corridor was about 40 feet wide and over 21 feet high, with its drastically angled accordion-type roof. Barker\xe2\x80\x99s made its debut on the island with this new store at the shopping center.[6][7]\n",18.01167,-66.61444,"Centro del Sur Mall is a shopping mall in Ponce, Puerto Rico. At the time of its inauguration in 1962, it was Puerto Rico's largest mall and ""the most modern mall in the Caribbean."" It is located at the intersection of Puerto Rico routes PR-163 (Avenida Las Américas) and PR-1 (Bulevar Miguel Pou). Its original building cost was $2,500,000 (equivalent to $43 million in 2023 dollars). It has been enlarged several times, including in 1991, 2005, and again in 2010; the last time to accommodate the megastore Burlington.

On June 27, 1962, developed by IBEC Realty Company",Unknown,"Centro del Sur Mall, Puerto Rico",Unknown,No
Complejo Ferial de Puerto Rico,"\n Complejo Ferial de Puerto Rico,[5]is a 3,000-seat[6]indoorarenaandconvention centerinPonce, Puerto Rico. It is intended to be used primarily fortrade shows,conventionsandsporting events. It opened in June, 2012.[7]One of the first pre-inauguration activities was a set ofOlympicboxingpre-match games.[8][9]Its official inauguration was subsequently set for September 2012.[10]However, its official inauguration took place on 11 October 2012.[11]\n Variously known asCentro de Convenciones de Ponce,Centro de Convenciones de Ponce Juan H. Cintrón,[12]andComplejo Ferial de Puerto Rico Juan H. Cintrón Garcia, the center was built to serve the local as well as the international business market.[13]The Centro de Convenciones de Ponce was named after former Ponce MayorJuan H. Cintrón García.[14][15]Centro de Convenciones de Ponce is unique among otherconvention centersinPuerto Ricofor the flexibility of its interior spaces.[16]It is owned by the Autonomous Municipality of Ponce.[17]\n",18.007819833,-66.606319833,"Complejo Ferial de Puerto Rico, [5] is a 3,000-seat [6] indoor arena and convention center in Ponce, Puerto Rico. It is intended to be used primarily for trade shows, conventions, and sporting events. It opened in June 2012. One of the first pre-inauguration activities was a set of Olympic boxing pre-match games. Its official inauguration was subsequently set for September 2012. However, its official inauguration took place on 11 October 2012. 

Variously known as Centro de Convenciones de Ponce, Centro de Convenciones de Ponce Juan H. Cintrón, and Complejo Ferial de Puerto Rico Juan H. Cintrón García, the center was built to serve the local as well as the international business market. The Centro de Convenciones de Ponce was named after former Ponce Mayor Juan H. Cintrón García. Centro de Convenciones de Ponce is unique",Unknown,"Complejo Ferial de Puerto Rico, Puerto Rico",Unknown,No
Cerrillos State Forest,"\n Cerrillos State Forestis one of the 21 state forests inPuerto Rico.[4][5]It is located inbarrioMarag\xc3\xbcez, in the municipality ofPonce, and covers 200 cuerdas (190 acres; 0.79 km2)[6]of valleys and mountains in the foothills of theCordillera Centralmountain range.[7]The forest has several trails, observation areas, severalpicnicareas, complete withgazeebosand a man-made reservoir,Lake Cerrillosand the Lake Cerrillos dam.\n The forest is located at 18.08842 N, 66.58058 W (18\xc2\xb05\xe2\x80\xb218.31\xe2\x80\xb3N66\xc2\xb024\xe2\x80\xb250.08\xe2\x80\xb3W / 18.0884194\xc2\xb0N 66.4139111\xc2\xb0W /18.0884194; -66.4139111), in barrioMarag\xc3\xbcez, which is located northeast of the city ofPonce, Puerto Rico. It can be reached viaPR-139Km 3.4. Its elevation varies from 400 to 1,000 feet above sea level.[8]\n",18.08842,-66.58058,"Cerrillos State Forest is one of the 21 state forests in Puerto Rico. It is located in barrio Maragüez, in the municipality of Ponce, and covers 200 cuerdas (190 acres; 0.79 km2) of valleys and mountains in the foothills of the Cordillera Central mountain range. The forest has several trails, observation areas, several picnic areas, complete with gazebos and a man-made reservoir, Lake Cerrillos, and",Nature,"Cerrillos State Forest, Puerto Rico","Summer, Spring",Yes
Cerro de Punta,"\n Cerro de PuntaorCerro Puntais the highestpeakinPuerto Rico, rising to 1,338 meters (4,390 ft) above sea level.[note 1]Themountainis part of theCordillera Centraland is located on thetown boundarybetween themunicipalitiesofPonceandJayuyain the central region of themain islandof Puerto Rico.[3][4][5][1][6]\n Themountainis part of theCordillera Centraland is located on the municipality of Jayuya, Puerto Rico.[7][8][9][2]The access road to the point closest to the highest elevation is from the municipality of Jayuya.[10]It is part of theToro Negro Forest Reserve, and it has been described as ""an alpine runt.""[11]It is located on the western end of the Toro Negro State Park. The mountain is just north of east-to-westboundRoute 143. It is located at coordinates 18.172458 and -66.591839W. The nearest populated place to Cerro de Punta isUrbanización Vega Linda, located 3.3 miles (5.3 km) away.\n",18.1725,-66.59194,"Cerro de Punta or Cerro Punta is the highest peak in Puerto Rico, rising to 1,338 meters (4,390 ft) above sea level. The mountain is part of the Cordillera Central and is located on the town boundary between the municipalities of Ponce and Jayuya in the central region of the main island of Puerto Rico. The mountain is part of the Cordillera Central and is located in the municipality of Jayuya, Puerto Rico. The access road to the point closest to the highest elevation is from the municipality of Jayuya. It is part of the Toro Negro Forest Reserve and has been described as ""an alpine runt."" It is located on the western end of the Toro Negro State Park. The mountain is just north of east-to-westbound Route 143. It is located at coordinates 18.172458 and -66.591839W. The nearest populated place to Cerro de Punta is Urbanización Vega Linda, located","Nature, Museums, Beaches","Cerro de Punta, Puerto Rico","Summer, Spring",Yes
